_id,execution_id,workflow,export_timestamp,raspberry_pi,summary.count,summary.mean_humidity,summary.mean_temp_c,summary.min_humidity,summary.max_humidity,summary.min_temp_c,summary.max_temp_c,summary.start_time,summary.end_time,metrics.task_A_task_duration,metrics.task_A_task_success,metrics.task_A_task_records_total,metrics.task_A_execution_start_timestamp,metrics.task_B_task_duration,metrics.task_B_task_success,metrics.task_B_task_records_total,metrics.task_B_execution_start_timestamp,total_duration_seconds,raw_data_count,source_file,all_tasks_successful,energy_metrics_added_at,energy_monitoring.enabled,energy_monitoring.prometheus_url,energy_monitoring.sampling_interval_seconds,energy_monitoring.collection_duration_seconds,energy_monitoring.samples_count,energy_monitoring.raspberry_pi.power.mean_watts,energy_monitoring.raspberry_pi.power.max_watts,energy_monitoring.raspberry_pi.power.min_watts,energy_monitoring.raspberry_pi.power.std_watts,energy_monitoring.raspberry_pi.cpu.mean_percent,energy_monitoring.raspberry_pi.cpu.max_percent,energy_monitoring.raspberry_pi.ram.mean_percent,energy_monitoring.raspberry_pi.ram.max_percent,energy_monitoring.raspberry_pi.temperature.mean_celsius,energy_monitoring.raspberry_pi.temperature.max_celsius,energy_monitoring.raspberry_pi.energy.total_joules,energy_monitoring.raspberry_pi.energy.total_wh,energy_monitoring.pc.power.mean_watts,energy_monitoring.pc.power.max_watts,energy_monitoring.pc.power.min_watts,energy_monitoring.pc.power.std_watts,energy_monitoring.pc.cpu.mean_percent,energy_monitoring.pc.cpu.max_percent,energy_monitoring.pc.ram.mean_percent,energy_monitoring.pc.ram.max_percent,energy_monitoring.pc.temperature.mean_celsius,energy_monitoring.pc.temperature.max_celsius,energy_monitoring.pc.energy.total_joules,energy_monitoring.pc.energy.total_wh
6963d17654d9f0e486316485,20260111_173102,DHT-Sensor-Capture-And-Preprocess,2026-01-11T16:36:06.173Z,192.168.1.50,292,60,17.611643835616434,60,60,17.6,17.7,1768149056.7368157,1768149357.6128218,301.003,1,292,1768149056.6393135,2.6039,1,292,1768149360.2607436,303.6069,292,/home/raspi/sensor_output_20260111_173102_preprocessed.json,true,2026-01-11T16:36:18.481Z,true,http://localhost:9090,2,313.96602392196655,155,1.569378524215999,1.96545718319494,1.4130718542891803,0.17066305191828143,0.3824618736382686,1.4666666666683597,4.494304929326713,4.6665710653602925,46.0887870967742,46.175000000000004,490.8363354397372,0.13634342651103812,3.156234419354839,4.247541,2.862714,0.24748221180457927,5.266287878787983,8.70833333333546,75.9817900202035,76.55784444599777,45.541935483870965,50,986.4883031221697,0.2740245286450471
6963d845271c681328d9d9c3,20260111_180004,DHT-Sensor-Capture-And-Preprocess,2026-01-11T17:05:09.124Z,192.168.1.50,293,60.40273037542662,17.65290102389078,60,61,17.6,17.7,1768150799.262468,1768151100.1445935,301.004,1,293,1768150799.1700728,2.63057,1,293,1768151102.747281,303.63457,293,/home/raspi/sensor_output_20260111_180004_preprocessed.json,true,2026-01-11T17:05:20.939Z,true,http://localhost:9090,2,314.2388837337494,155,1.5633241297905,1.8712241189963899,1.42003790334902,0.1704477645840718,0.38235930735946677,2.3000000000017025,4.480517337259405,4.618124457397988,45.64272903225807,46.175000000000004,489.5224877675083,0.13597846882430786,3.1210215548387095,4.806669,2.881807,0.33047671802582207,4.93257575757577,9.858333333334784,61.29413453622035,61.918701293830225,45.748387096774195,53,975.51447864127,0.2709762440670194
6963d9be90d334508f052a33,20260111_180622,DHT-Sensor-Capture-And-Preprocess,2026-01-11T17:11:26.660Z,192.168.1.50,292,60.842465753424655,17.954109589041092,60,62,17.7,18.2,1768151177.1273026,1768151477.9978933,301.003,1,292,1768151177.025768,2.64181,1,292,1768151480.4737282,303.64481,292,/home/raspi/sensor_output_20260111_180622_preprocessed.json,true,2026-01-11T17:11:38.420Z,true,http://localhost:9090,2,314.5883128643036,155,1.577584548527157,1.78244814291395,1.4203065106200001,0.16614123673106188,0.3740740740741353,1.3999999999941792,4.472429566758552,4.544291826863455,45.93135483870968,46.175000000000004,493.2989876447841,0.1370274965679956,3.090185787096774,4.269899,2.741843,0.31337954173369487,5.274346405228753,10.249999999999403,61.71530154788604,62.615881827104005,45.95483870967742,53,966.1552661043819,0.26837646280677274
6963dbe2aeb8fe5f419cfbe0,20260111_181530,DHT-Sensor-Capture-And-Preprocess,2026-01-11T17:20:34.913Z,192.168.1.50,291,24.185567010309278,38.47353951890034,13,59,18.3,49.9,1768151725.4564655,1768152025.5400124,300.211,1,291,1768151725.3601534,2.62748,1,291,1768152028.5787292,302.83848,291,/home/raspi/sensor_output_20260111_181530_preprocessed.json,true,2026-01-11T17:20:47.083Z,true,http://localhost:9090,2,314.541512966156,155,1.511689565738363,1.77190229662368,1.40730913686734,0.13408077098052643,0.4316993464051778,2.2166666666635138,4.491511904237997,5.102009177725408,44.81058709677419,45.594,472.926638066806,0.13136851057411278,3.0437630903225807,4.371693,2.883779,0.23733891831293247,4.492374727668817,6.8083333333349145,61.8092299371273,62.58047724019256,47.39354838709677,60,951.3513551984854,0.26426426533291264
6963ded0fd46dc2e6c486a0b,20260111_182759,DHT-Sensor-Capture-And-Preprocess,2026-01-11T17:33:04.903Z,192.168.1.50,291,29.77319587628866,26.936082474226804,18,41,21,39.4,1768152474.3544607,1768152775.3058581,301.079,1,291,1768152474.258543,2.62307,1,291,1768152777.9838161,303.70207,291,/home/raspi/sensor_output_20260111_182759_preprocessed.json,true,2026-01-11T17:33:17.599Z,true,http://localhost:9090,2,316.69826459884644,156,1.6029320707345232,2.1491585089627,1.4244320354725402,0.1755448331835129,0.553118279569799,2.8166666666675155,4.53735278193839,5.08359946669974,46.61447435897436,46.756,504.5322140919015,0.14014783724775043,2.9742794294871797,4.746035,2.588637,0.37077675022751744,3.937580645161248,12.41666666666788,47.09549968021922,61.79322243684714,43.32692307692308,51,936.3459177860361,0.2600960882738989
6963e0fd70ac6b9bd1d1f7df,20260111_183716,DHT-Sensor-Capture-And-Preprocess,2026-01-11T17:42:21.916Z,192.168.1.50,291,49.16838487972509,19.42611683848797,48,50,19.3,19.5,1768153031.55043,1768153332.416398,300.992,1,291,1768153031.4552143,2.61541,1,291,1768153335.1228788,303.60741,291,/home/raspi/sensor_output_20260111_183716_preprocessed.json,true,2026-01-11T17:42:34.457Z,true,http://localhost:9090,2,315.2407319545746,156,1.4939281729524547,1.75108663795192,1.3466432244479998,0.1571009447025128,0.380735930735972,1.36666666666315,4.513391586528524,4.608047562941831,32.85160256410256,42.107,470.0295113144068,0.1305637531428908,2.903620217948718,3.643616,2.762943,0.12913940722661893,2.9130952380952775,5.350000000003092,40.70216853349836,41.06750228311281,42.89102564102564,51,914.0340760594692,0.25389835446096365
696e60625c5914bb143f6652,20260119_174335,DHT-Sensor-Capture-And-Preprocess,2026-01-19T16:48:34.827Z,192.168.1.50,290,58.42758620689655,19.27931034482759,56,60,19.1,19.4,1768841004.6248543,1768841302.7935672,301.225,1,290,1768841001.6347868,5.94583,1,290,1768841305.2862859,307.17083,290,/home/raspi/sensor_output_20260119_174335_preprocessed.json,true,2026-01-19T16:48:55.802Z,true,http://localhost:9090,2,317.1163923740387,157,1.619057628926266,2.0955956693602094,1.41106115873518,0.17039787640938617,0.5988247863250523,9.816666666659629,8.59712521654708,9.17346211087684,45.1018152866242,45.594,512.7512103638771,0.14243089176774365,3.353547547770701,5.547806,3.051962,0.45115557311293925,6.3558226495726,11.416666666664241,76.80022038131136,77.70643192434903,47.64331210191083,58,1062.9730225880755,0.2952702840522432
696e62f05522885f48ecc8ff,20260119_175433,DHT-Sensor-Capture-And-Preprocess,2026-01-19T16:59:28.814Z,192.168.1.50,290,60,19.246896551724138,60,60,19.1,19.3,1768841662.308051,1768841960.4727952,301.011,1,290,1768841659.4915783,2.62135,1,290,1768841962.935342,303.63235000000003,290,/home/raspi/sensor_output_20260119_175433_preprocessed.json,true,2026-01-19T16:59:49.766Z,true,http://localhost:9090,2,313.11812567710876,155,1.6065457572684365,2.3806881979950503,1.41880446519196,0.23079205983007967,0.4992424242428698,2.8166666666705567,8.634528291318766,8.844800322460621,45.26414193548387,45.594,502.9027764868911,0.1396952156908031,3.914061683870968,6.310904,3.148632,0.723118165264298,10.033932461873677,16.650000000002677,82.4844143278412,83.94854687837423,52.83870967741935,64,1224.5035895876877,0.3401398859965799
696e656e3969541f70280f51,20260119_180511,DHT-Sensor-Capture-And-Preprocess,2026-01-19T17:10:06.922Z,192.168.1.50,291,60.00687285223368,19.367697594501717,60,61,19.2,19.5,1768842297.666116,1768842598.5552108,301.016,1,291,1768842297.5685582,2.64748,1,291,1768842601.00837,303.66348,291,/home/raspi/sensor_output_20260119_180511_preprocessed.json,true,2026-01-19T17:10:27.795Z,true,http://localhost:9090,2,313.624062538147,155,1.585876477726752,2.1159426261010896,1.41184418697851,0.17748470387176687,0.42305194805159724,3.6500000000038852,8.607711999855972,9.222877650998385,45.03549032258065,45.594,496.09065166333943,0.13780295879537208,3.9348739741935486,6.480477,3.014071,0.7630447760225634,10.481926406926455,20.358333333333576,82.91321783936999,85.41309116533876,51.483870967741936,63,1229.2451241192705,0.3414569789220196
696e6710ca09204b8ba73a23,20260119_181209,DHT-Sensor-Capture-And-Preprocess,2026-01-19T17:17:04.530Z,192.168.1.50,290,59.01379310344828,19.90758620689655,59,60,19.7,20.1,1768842717.8757915,1768843016.0534415,301.004,1,290,1768842715.0807912,2.65859,1,290,1768843018.5219002,303.66259,290,/home/raspi/sensor_output_20260119_181209_preprocessed.json,true,2026-01-19T17:17:25.396Z,true,http://localhost:9090,2,313.08465337753296,155,1.594139690355629,2.1081386903684196,1.42305563566657,0.17349547983045432,0.5011904761903717,4.1833333333428016,8.622208475193336,9.13819298028029,45.395335483870966,45.594,498.5128448086339,0.13847579022462053,3.541044064516129,6.32985,2.716821,0.724883771755014,8.432352941176411,20.241666666664372,78.20445958585107,85.25925462873509,46.696774193548386,59,1108.2287219107736,0.30784131164188155
